"_unit_id","_golden","_unit_state","_trusted_judgments","_last_judgment_at","what_is_the_stance_of_the_user_that_wrote_those_three_messages","what_is_the_stance_of_the_user:confidence","content","ids","what_is_the_stance_of_the_user_gold"
"1048884195","false","finalized","3","9/26/2016 00:28:35","leave","0.7085","MESSAGE 1: the ((( globalists ))) are more pissed off about #brexit than they were about 1,000s of white girls being raped by non-white invaders.  MESSAGE 2: brexit isn’t about economics. it’s about xenophobia. - vox. twats... #brexit https://t.co/ulwjbcawzv  MESSAGE 3: there's a disruption in the force...#brexit#bloodybrilliant https://t.co/erd969tu2h","746419943206326273_746377621802475520_746440522429042688",
"1048884196","false","finalized","2","9/25/2016 20:36:38","leave","1.0000","MESSAGE 1: after ‘#brexit,’ can we exit a few things too? getting out of #nato would be a good first move.  https://t.co/ec9oq8ln4u #wakeupamerica  MESSAGE 2: jean-claude juncker is to the eu what sepp blatter was to fifa. this madman has to be stopped. #brexit #euhastocrumble  no #2ndreferendum  MESSAGE 3: i will go full on michael douglas in falling down if we don't leave the eu now. you have been warned... #brexit","747905632469196800_747719081042771968_747707879650623489",
"1048884197","false","finalized","2","9/25/2016 20:36:38","leave","1.0000","MESSAGE 1: tomorrow we celebrate our independence day.. the glorious 24th #brexit #voteleave #bluehand https://t.co/5jg1zymamr  MESSAGE 2: well done for weighing it up and assessing the situation for what it is, not for what you want it to be.#brexit https://t.co/gr4ju6xvs3  MESSAGE 3: eu is ""past its sell-by date"", scottish #voteleave director says https://t.co/oy47pdppy6 #euref #voteleave #brexit","745972521250455552_746015404410142720_745943075625795585",
"1048884198","false","finalized","2","9/25/2016 20:04:27","leave","1.0000","MESSAGE 1: has no clue. the epitome of a bad politician. thinks he knows better then the people self-serving &amp; out of touch https://t.co/9eh7yetepw  MESSAGE 2: a very british apocalypse...#brexit https://t.co/b4hisbspl6  MESSAGE 3: independence day in westminster. doesn't parliament democracy look great?#voteleave#euref#brexit https://t.co/9oqvlwicrz","746486474883858432_746481901377060864_746287016824954880",
"1048884199","false","finalized","2","9/25/2016 20:46:18","leave","1.0000","MESSAGE 1: breaking . whole country to stop paying bbc licence fee in protest of bias reporting of #brexit https://t.co/2welibiurh  MESSAGE 2: if you voted leave, you must #cancelyourtvlicence as your money is being used to overthrow your democratic vote. https://t.co/f2egvn0mxm  MESSAGE 3: by the inimitable must-follow @skiplicker on remain's odious hypocrisy cc @campbellclaret #brexit - 11 days, a to b https://t.co/leqlfwiybq","747723628951789568_747792310705000448_747900763637166081",
"1048884200","false","finalized","3","9/26/2016 00:28:35","remain","0.6478","MESSAGE 1: that #brexit immigrant argument in three simple images from sky news..... https://t.co/yy30gtdqb3  MESSAGE 2: “a #brexit vote would legitimise the racism that is at the core of the brexit campaign.” https://t.co/rnqxmlqq1d #euref  @writersofcolour  MESSAGE 3: this chart shows how wrong #voteleave is on #immigration#strongerin #votein #euref #brexit https://t.co/dwkaskttqk https://t.co/69o0hkevso","745874982933266432_745877855326867456_745877142412615680",
"1048884201","false","finalized","2","9/25/2016 20:36:38","remain","1.0000","MESSAGE 1: a stack of people are saying commbank's #brexit freeze on money exchange has left them stranded in foreign countries https://t.co/h9xczbdkyx  MESSAGE 2: this is how the #brexit is really affecting us: https://t.co/cnkcub5den  MESSAGE 3: i am actually shocked that uk voted #brexit so what does it really mean now????","746337854595411972_746310145093795840_746272039460347905",
"1048884202","false","finalized","2","9/25/2016 20:52:08","remain","1.0000","MESSAGE 1: the daily mail reports there's been a spike in racist hate crime post-#brexitfor context, here's some dm headlines https://t.co/wbjbzkedgn  MESSAGE 2: incredible scenes in westminster as the remain march arrive singing: ""racists out, immigrants in"" #brexit #euref https://t.co/llrqikxqph  MESSAGE 3: no coincidence that w/ #brexit, fascists feel victorious &amp; hate crimes reports have gone up 57%. see britain first or marine le pen's praise","747859277633695745_747872908366733313_747789810107035648",
"1048884203","false","finalized","2","9/25/2016 20:27:15","leave","1.0000","MESSAGE 1: how problematic is it not to say ""the people have decided,"" 52%-48%? there's something very wrong here. https://t.co/ffsd9yplxm  MESSAGE 2: #brexit #leaveeu must be winning because it's not trending on twitter. that news won't get through their pc filter.  MESSAGE 3: campaigning is illegal near polling stations. what is going on here? #brexit https://t.co/yj9m14vbyi","745990196626329600_746080014916009984_746043237303975937",
"1048884204","false","finalized","2","9/25/2016 20:27:15","leave","1.0000","MESSAGE 1: now that world government has failed, it will be all but impossible talk to and trade with one another... tee anyone? #brexit  MESSAGE 2: congratulations to #britain for your independence. next up is #swexit i hope. #brexit  MESSAGE 3: thanks, britain! #brexit this is a step in the right direction https://t.co/8ymgrg3kzd","746404949010022401_746290691429511168_746291378615910400",
"1048884205","false","finalized","2","9/25/2016 20:27:15","untelligible","1.0000","MESSAGE 1: first the uk, then scotland … then #texas? - https://t.co/8mwrbxuawu #brexit #texit  MESSAGE 2: #brexit was just the start! #swexit next? and of course #sexit is a human right. https://t.co/p30pqghtql  MESSAGE 3: #brexit insider: eu plans occupational army to suppress the people https://t.co/fzi4lvjhlr @drudge #ukip #tcot https://t.co/kwklf5xwuq","747870917091434496_747802428230242304_747831268088385536",
"1048884206","false","finalized","2","9/25/2016 20:04:27","leave","1.0000","MESSAGE 1: who is right? while #brexit polls saw both camps neck on neck, smart money (bookies+markets) betting big on #bremain https://t.co/wsbxzyeys7  MESSAGE 2: what a morron! this war criminal voted remain. how typical #voteleave #brexit  https://t.co/oovdchr2al  MESSAGE 3: how much did the potential impact on your career or industry influence how you voted today? #eureferendum #brexit","745890924522254336_745976906487566336_745963719532879872",
"1048884207","false","finalized","2","9/25/2016 20:04:27","untelligible","1.0000","MESSAGE 1: uk right now#brexit https://t.co/mxo66hrvdm  MESSAGE 2: so the uk is out, cameron resigned, scotland wants to leave great britain, sinn fein plans to unify ireland and it's only 9:30 am #brexit  MESSAGE 3: u.s. stocks tumble the most in 10 months after u.k. #brexit vote https://t.co/aiize7ocff https://t.co/ehm4m6qvsv","746279259333885952_746281288391331840_746434736969506817",
"1048884208","false","finalized","2","9/25/2016 20:27:15","untelligible","1.0000","MESSAGE 1: ""why are you here?"" - european commission chief @junckereu challenges @ukip meps https://t.co/slockdahcp #brexit https://t.co/qi6c6gmcbr  MESSAGE 2: would you say this adequately sums up the #brexit guys? https://t.co/oi5ucu9aqz  MESSAGE 3: @alyssa_milano total meltdown in the financial markets thanks to #brexit , @anki 's cozmo robot pet and england lost to iceland in football","747713643081572352_747590856929120256_747591490097004544",
"1048884209","false","finalized","2","9/25/2016 20:04:27","untelligible","1.0000","MESSAGE 1: apco’s zoe thorogood discussed #brexit consequences with @cctv_america. emphasized that 50% of uk trade is within eu https://t.co/sbqt7cut4h  MESSAGE 2: early signs that the tories are looking beyond tomorrow. would @david_cameron survive a #brexit vote? #euref  https://t.co/h48xj0j3k0  MESSAGE 3: apco’s @lindsmalcolm and @andreigoldis say the consequences of a #brexit will reach far beyond the uk and eu. https://t.co/yff8lyarfi","745978024466735104_746087962023174144_745891436747448320",
"1048884210","false","finalized","2","9/25/2016 20:04:27","untelligible","1.0000","MESSAGE 1: .@borisjohnson &amp; #theresamay to be final two in leadership run-off contest @conservatives #brexit  https://t.co/s3v3diheme  MESSAGE 2: paris already touting for london's business. #brexit https://t.co/3ugrkkjqfy  MESSAGE 3: tune in now to see apco's zoe thorogood discuss #brexit with @cctv_america https://t.co/vknhvty4xz","746317916287700993_746292482497970178_746487566816387072",
"1048884211","false","finalized","2","9/25/2016 20:27:15","untelligible","1.0000","MESSAGE 1: my blog for @apcoworldwide on post #brexit political turmoil https://t.co/pa4tsbe6vw  MESSAGE 2: apco's ceo @bradstaples on what #brexit means for global business and politics https://t.co/kma89i0l26 @apcoworldwide  MESSAGE 3: a french perspective... https://t.co/nix2fyv3ao","747913756173303809_747729557474652160_747744718147194880",
"1048884212","false","finalized","2","9/25/2016 20:36:38","untelligible","1.0000","MESSAGE 1: the brexit campaign has been difficult for british people living in brussels. #brexit #uk #brusselshttps://t.co/ps1r5ebz1i  MESSAGE 2: d-day for uk vote on eu membership - https://t.co/fih2qxnbgu #euref #brexit #bremain  MESSAGE 3: ok. here's my personal take on the whole #euref .brussels brit: #brexit referendum is good, painful and necessary  https://t.co/s8cu6hcodb","745879521199546368_745943092478480384_745868708216774657",
"1048884213","false","finalized","2","9/25/2016 20:27:15","untelligible","1.0000","MESSAGE 1: #brexit threatens the uk, the eu and the economy @euractiv https://t.co/of9xtzfafo #eurefresults #euref  MESSAGE 2: britain terminates failed marriage and heads for messy divorce @euractiv #brexit https://t.co/xzhry1xciv  MESSAGE 3: our live reactions are being posted on our live blog right now. #brexit https://t.co/rckztdv4yf","746385440547102723_746316225471471616_746277919195078656",
"1048884214","false","finalized","3","9/26/2016 00:28:35","untelligible","0.3563","MESSAGE 1: commission in bid to lead ‘tough’ #brexit talks with uk(but member states want #euco to lead talks)by @europressos https://t.co/y3q10quzyd  MESSAGE 2: #euco. farage on immigration, betrayal and #brexit  https://t.co/pd3om4hzrj  MESSAGE 3: yes! you heard it first @euractiv @blogactiv ! ahead of the game on eu news &amp; policy debates, as always! #brexit https://t.co/fcp69f2erb","747772440584032256_747869015121485824_747793813251424256",
"1048884215","false","finalized","2","9/25/2016 20:13:45","untelligible","1.0000","MESSAGE 1: is the british class system explainable on one napkin chart?ping @mikedownesz @lordparker :-) https://t.co/bkjxl4bgzy  MESSAGE 2: bitcoin volume stats at bitfinex on #brexit dayhttps://t.co/oxpokqdbig https://t.co/1siwxewkg8  MESSAGE 3: the day where ladbrokes has more influence on the market than the bank of england #brexithttps://t.co/boodrk7cak","746018820452651009_746076597942292480_745960406389141504",
"1048884216","false","finalized","2","9/25/2016 20:36:38","untelligible","1.0000","MESSAGE 1: rbi (reserve bank of india) governor raghuram rajan  on #brexit https://t.co/vb0dgnxn0x  MESSAGE 2: was it #brexit or #brickxit ? https://t.co/78llozrqhf  MESSAGE 3: rudy giuliani former mayor of new york city on #brexit https://t.co/mp2omjlin7","746576676444737536_746270897485422594_746555686520184832",
"1048884217","false","finalized","2","9/25/2016 20:46:18","untelligible","1.0000","MESSAGE 1: if global financial markets were healthy #brexit would be a non-event. it's only because it's a financial house of cards that it's toppling!  MESSAGE 2: you literally couldn't make this up even if you tried! #brexit #eu #goodluckeurope https://t.co/chuzxe8p99  MESSAGE 3: full video - imf christine lagarde on #brexit(skip to 3:33)https://t.co/qlsuzrficr","747583493643788288_747671073404092416_747596478361702400",
"1048884218","false","finalized","3","9/26/2016 00:28:35","untelligible","0.6478","MESSAGE 1: an appeal from friends as uk votes on #brexit https://t.co/owh80meno5  MESSAGE 2: #brexit a yougov poll of 5,000 people puts #remain at 52 per cent to #leave's 48 per cent . follow our live blog  https://t.co/vei3ln7myu  MESSAGE 3: why #brexit would be bad for trade between britain and ireland https://t.co/imukbizwc0","745905928688517121_746090286711971842_745923991328669696",
"1048884219","false","finalized","2","9/25/2016 20:46:18","remain","1.0000","MESSAGE 1: podcast: pat cox @patleahyit @clifftaylorit &amp; @hlinehan assess the 'nightmare' of #brexit/ https://t.co/7kykjppdxq https://t.co/tyyivawurx  MESSAGE 2: what does the #brexit #eurefresults mean for sport in the uk? quite a lot actually... https://t.co/jnpn7xfywm  MESSAGE 3: ► video: @tourismireland responds to #brexit https://t.co/4m8mcchpty https://t.co/mhea3trkgg","746321519194869760_746308380587876352_746435185177145344",
"1048884220","false","finalized","2","9/25/2016 20:27:15","untelligible","1.0000","MESSAGE 1: ► video: 'do not let scotland down!' - mep gets standing ovation for stirring #brexit speech https://t.co/0grcf1qo7z https://t.co/nwdhzrbos8  MESSAGE 2: ► video: donald tusk: 'europe is ready to start the divorce process' #brexit https://t.co/yhhnsogqqs https://t.co/n7eyfregfg  MESSAGE 3: live blog: keep up to date with all the latest developments as eu leaders meet in wake of #brexit https://t.co/ci8wxwxuxn","747899203431632900_747779355506544640_747789193443684353",
"1048884221","false","finalized","3","9/26/2016 00:29:21","remain","0.7085","MESSAGE 1: arguments for #brexit are the same ones #trump is making in the us. should be interesting.  MESSAGE 2: #brexit isn’t about economics. it’s about xenophobia. https://t.co/ytuysdgsyo https://t.co/wpuyaslfkj  MESSAGE 3: #brexit campaigner @nigel_farage is said to be already conceding defeat. he has reportedly said that #remain ""will edge it"" #euref","745983638282637312_746072818765414400_746095769225150464",
"1048884222","false","finalized","2","9/25/2016 20:36:38","remain","1.0000","MESSAGE 1: 'sir. am i going to be deported?' cheers brexiters, you've made my day in a vibrant, diverse london school horrific #brexit #eurefresults  MESSAGE 2: the dirty dozen — 12 people who brought about #brexit https://t.co/jqwtcfpk6v https://t.co/cbvurjbin3  MESSAGE 3: #scotland ""taken out of the eu against their will. i see that as democratically unacceptable"" says nicola sturgeon #brexit","746427444438138880_746600624859537409_746583717481750532",
"1048884223","false","finalized","2","9/25/2016 20:46:18","remain","1.0000","MESSAGE 1: lesson for young people. if you want control over your future, you have to actually show up and vote. #brexit https://t.co/esuomsgs6k  MESSAGE 2: here's the full list of #brexit advisors announced by fm @nicolasturgeon https://t.co/pyfycxg3rq  MESSAGE 3: fear &amp; division, divide &amp; conquer - always the go-to for crumbling empires#brexit #trump #ausvotes #refugees  https://t.co/vxyznsc87a","747610987319144448_747820803622842368_747672393221570560",
"1048884224","false","finalized","2","9/25/2016 20:36:38","untelligible","1.0000","MESSAGE 1: why can't british media report on #brexit? (we can, though.) @folkenflik explains, and talks about #democraticsitin.  MESSAGE 2: on a very busy news day, @hereandnow will bring you the latest on #scotus, #brexit and the #freddiegray verdict.  MESSAGE 3: but american journos can talk about it, as @pkenyonnpr is doing right now @hereandnow. https://t.co/cme75xszsg","745999582744690690_745999404226781184_746029397463998465",
"1048884225","false","finalized","2","9/25/2016 20:04:27","untelligible","1.0000","MESSAGE 1: our own schuyler sisters -- @terischultz @lfrayer @elbeardsley-- on #brexit &amp; europe, now @hereandnow.  MESSAGE 2: coming up in hour 2 @hereandnow: what will #brexit mean for the u.s. financial system? @reganonymous explains to @hereandnowrobin.  MESSAGE 3: take our #brexit #eu poll. share your thoughts, too. https://t.co/vq3knn9cx2","746376197743972352_746385466467946499_746346881475878912",
"1048884226","false","finalized","2","9/25/2016 20:52:08","untelligible","1.0000","MESSAGE 1: hour one of today's @hereandnow: #benghazi and politics with @domeniconpr. plus: #brexit and how the eu began.  MESSAGE 2: also, @jasonbellini discusses the big @vw settlement with @jeremyhobson. then @annickcojean explains the french point of view on #brexit.  MESSAGE 3: watching @nigel_farage and @richardquest on @cnn is a pilot for a comedy show. or maybe #brexit karaoke. @jkcorden.","747809180384374785_747837716956581888_747833280825819136",
"1048884227","false","finalized","2","9/25/2016 20:27:15","untelligible","1.0000","MESSAGE 1: impact of #brexit on world economy via @business  https://t.co/va8ld6j0tw  MESSAGE 2: the u.k.'s #brexit vote starts in just a few hours. here's what you need to know https://t.co/demeghwwxm https://t.co/jfiijcodi8  MESSAGE 3: 'remain' campaign in #brexit vote boosted by late opinion polls #euref https://t.co/hv5jxh1ddk https://t.co/tfz9m2lxzb","745792614721519616_745792895815389184_745792485360812032",
"1048884228","false","finalized","2","9/25/2016 20:36:38","untelligible","1.0000","MESSAGE 1: live @msnbc special coverage of #brexit continues at 10pm et -- i'm guest hosting @thelastword  MESSAGE 2: #handelsblatt, 27 may: ""waiting for the crash""... https://t.co/p5joahbjmw #brexit  MESSAGE 3: tears of joy from german populists #afd over #brexit https://t.co/qx5dpz7bsa","746525977501540352_746388297220497409_746389381687173120",
"1048884229","false","finalized","2","9/25/2016 20:04:27","untelligible","1.0000","MESSAGE 1: e.u. climate plans stall as #brexit talks take over https://t.co/yjm2lcidq4 via @climatehome https://t.co/kgswdmceq0  MESSAGE 2: headhunters are already seeing a rise in the number of bankers seeking new jobs. #brexit #london https://t.co/t4jcvsbleq  MESSAGE 3: no negotiation without notification - eu told cameron, says #merkel on #brexit @dwnews https://t.co/drhuayh0fu","747847516616462337_747859449008644096_747925552388943873",
"1048884230","false","finalized","3","9/26/2016 00:28:35","remain","0.6478","MESSAGE 1: #brexit #euref is not about left-right party-politics.bare minimum basis of any democracy is self-determination &gt; https://t.co/jma4oametc  MESSAGE 2: #labourinforbritain #voteremain don't say you weren't warned! #lexit #brexit #voteleave #euref #eureferendum #remain https://t.co/nm9qyyr658  MESSAGE 3: doubters please note.#voteleave #voteremain #bremain #brexit https://t.co/gful8ctaa8","745854693302280197_745849399788638211_745907946576556033",
"1048884231","false","finalized","2","9/25/2016 20:27:15","leave","1.0000","MESSAGE 1: thanks bob!#eurefresults #brexitvote#brexit https://t.co/gd5pzoetpo  MESSAGE 2: a far left perspective on #brexit (with most of which i disagree), but well worth a read nevertheless:https://t.co/zerbyotump  MESSAGE 3: on the contrary my friend, we do get what eu is all about. and we said thanks but no thanks.#brexit","746497551201931264_746342402798010368_746603483118374912",
"1048884232","false","finalized","2","9/25/2016 20:46:18","remain","1.0000","MESSAGE 1: #brexit pollplease rt to increase the sampleit you voted to leaveare you now regretting that decision?.  MESSAGE 2: following #brexit, things have just gotten a little out of hand @davesheridan https://t.co/0ixcusiltq  MESSAGE 3: what a shame.#brexitonline petition not enough for 2nd #brexit referendum in uk – electoral commission https://t.co/ompclgcrta","747668924146253824_747605877717409792_747746097297227776",
"1048884233","false","finalized","2","9/25/2016 20:04:27","leave","1.0000","MESSAGE 1: brexit we have until 10pm make it count our country our lives! undecided vote #remain for civil war!! #brexit for us https://t.co/nw8ni3qgyq  MESSAGE 2: @fight4uk praying for ?? #brexit  #leaveeu  #independenceday !  MESSAGE 3: my three minute #brexit pitch, via @cnn. https://t.co/lvvbxtv904","746072854081507328_745848757581942784_745853630171996160",
"1048884234","false","finalized","2","9/25/2016 20:27:15","untelligible","1.0000","MESSAGE 1: nehlen statement on british “independence day” https://t.co/jsdqrxup4p #brexit  MESSAGE 2: i know!  i was working and couldn't watch tv.  i feel like i slept through christmas. https://t.co/1r285ugwto  MESSAGE 3: breaking #brexit news: ""proposal paul"" ryan dropping everything to work on a bailout plan for the eu. wisconsin voters plan #prexit","746454505521299456_746532145716465664_746454591131226112",
"1048884235","false","finalized","2","9/25/2016 20:46:18","leave","1.0000","MESSAGE 1: no pressure. i love my supporters. #dumpryan and #hirenehlen august 9th. wisconsin's #brexit is called #prexit https://t.co/3i4jyt1wf1  MESSAGE 2: no, thank you @arron_banks and @leaveeuofficial - without you we could not have done this. #brexit https://t.co/b3lnzczz8p  MESSAGE 3: @speakerryan nobody wants your help on trade deals. nobody but your globalist campaign donors. #brexit = #prexit  https://t.co/nmwxu6wi3h","747881058574663680_747623199672766465_747880949363449856",
"1048884236","false","finalized","2","9/25/2016 20:04:27","remain","1.0000","MESSAGE 1: #brexit ? hey there you guys! please stay in #europe! we need you for a peaceful, just and democratic future in europe! #europeanunion  MESSAGE 2: eu commission says today the only people to speak are the british people and ""certainly not us"". #euref #brexit.  MESSAGE 3: may the force be with #eu today. #euref #brexit https://t.co/0kjb5wx5nb","745843761738092544_745925046577803264_745859973394087936",
"1048884237","false","finalized","2","9/25/2016 20:46:18","remain","1.0000","MESSAGE 1: this is how our age will be remembered. #brexit #theidiotsarewinning https://t.co/4ssa9ywa4m  MESSAGE 2: they wanted to take back their country. we didn't realize how far back they want to take it... https://t.co/uakljdkods  MESSAGE 3: ""short-term proposals: #jobs, #employment, #justice, then #treaty #reform"" @giannipittella #eurefresults #brexit #euagenda","746599423736688640_746598876157743104_746265517367902208",
"1048884238","false","finalized","2","9/25/2016 20:13:45","remain","1.0000","MESSAGE 1: well, as long as he keeps getting the money, he'll keep coming. but he won't give it to the nhs, hope that's clear https://t.co/kkxx5q0u5k  MESSAGE 2: first tory speaking in #brexit debate: ""we need to prepare"", ""to think"", ""to consider"", ""to plan""...maybe you should have done that earlier.  MESSAGE 3: #brexit has destroyed $3.6trn in worldwide market cap, about 318 times britain's eu net contribution. https://t.co/z8bjlugdua","747723098842075136_747720387677528064_747663135784448000",
"1048884239","false","finalized","2","9/25/2016 20:04:27","untelligible","1.0000","MESSAGE 1: #brexit #referendum #pollingstation floral tributes to murdered mp jo cox in batley #afp photo by @oliscarff https://t.co/zpdeymdhpk  MESSAGE 2: voting is underway in the #brexit referendum, markets are rallying. what you need to know https://t.co/0tib0lncng https://t.co/jpvztumlqg  MESSAGE 3: our reporter @bauer_dw is following merkel's remarks about #brexitornot at the german chancellery. https://t.co/cn4w5hc6st","745950712731938816_745945895443763201_745936193209139204",
"1048884240","false","finalized","2","9/25/2016 20:13:45","untelligible","1.0000","MESSAGE 1: the latest the anonymous xx newswire! https://t.co/g9ykpkz9ws thanks to @kicranston @wannabelikmike @thisisgaza #disclosure #brexit  MESSAGE 2: after #brexit, @borisjohnson for uk pm? https://t.co/eabgtzuce2 #borisforpm #donaldtrump (toon: sandeep adhwaryu) https://t.co/bqayat5ng7  MESSAGE 3: from elizabeth hurley to j.k. rowling, here is how british stars reacted to #brexit https://t.co/rhizbsfxbe https://t.co/3n6orh60ko","746359531198877696_746384605452853248_746580442216804352",
"1048884241","false","finalized","2","9/25/2016 20:13:45","untelligible","1.0000","MESSAGE 1: .@georgesoros bets 100 million against the @deutschebank following #brexit https://t.co/yheekrcg4w  MESSAGE 2: what comes after #brexit? merkel will address a special session of german parliament this morning https://t.co/yhb51fubp2  MESSAGE 3: .@juliansatt is #facebooklive from brussels where the eu holds its first summit since the #brexit vote. https://t.co/0n6v7adhdt","747740863065894912_747686241362186240_747846748379422720",
"1048884242","false","finalized","2","9/25/2016 20:46:18","leave","1.0000","MESSAGE 1: @dimartinobooth agreed! the anti-brexit,pro-eu crowd should stop the scare tactics!#brexit is better for britain~small states are better~  MESSAGE 2: brits! today is the day!""the truth about #brexit"" from @prisonplanet https://t.co/hwezvcklyg https://t.co/smyufnoeq3  MESSAGE 3: https://t.co/17huab5r4d self-immolation of a nation #brexit #dontmakethemistake","745750015159734276_745984634324869121_745821826601914368",
"1048884243","false","finalized","2","9/25/2016 20:27:15","leave","1.0000","MESSAGE 1: congrat #brexit for doing the smart thing and leaving the boat anchor #euref #teamkj  MESSAGE 2: enjoy me laughing at butt-hurt virtue signalling #brexit losers. ??? full vid: https://t.co/6jsz0dmwvuhttps://t.co/pgrkxmztrm  MESSAGE 3: #brexit: listen closely and you'll hear that people are saying ""enough"" of corrupt and rigged status quo. hrc not having a good day.","746311404106321920_746460379803377664_746310055591579648",
"1048884244","false","finalized","2","9/25/2016 20:04:27","untelligible","1.0000","MESSAGE 1: this 24 minutes may well save you all of your money. https://t.co/lzdm8cnd1v  MESSAGE 2: the real problem with #brexit - contagion: uk vote raises fears of a tsunami of eu membership referendums https://t.co/9h7ledbpvv  MESSAGE 3: grant williams and raoul pal debate the consequences of #brexit for markets. watch it free: https://t.co/ggogwenmud https://t.co/syt8idpop9","747608226582003712_747896146379452416_747592602224996352",
"1048884245","false","finalized","3","9/26/2016 00:28:35","untelligible","0.7085","MESSAGE 1: i am protectionist - opposite of the economist but this is quite informative. https://t.co/xzimfgwibk  MESSAGE 2: because the referendum itself came to be known as brexit. doesn't mean brexit is winning. https://t.co/gudnml4w7n  MESSAGE 3: #brexit contagion: who else wants to leave the eu? https://t.co/a9l769ejpa https://t.co/94vhkeqtom","745744722195587073_745949810327445505_745963915482304513",
